"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x723126851120439296","x1324851947153903617",2020-11-06 23:11:33,"ACE_Centre_UoG","@KarenJBateson @tartanblanketco Reason I love my work, working with/mentored by someone like that. Thought I’d share..’lead by admitting that you don’t know’ https://t.co/y0g8s2E1rl @ProfMinnis @TEDxGlasgow","Twitter for iPhone",140,,,,FALSE,TRUE,0,0,,,,,,,,,,,,,,,,"x1303326278414749697 x633082895 x2966170144","GajwaniRuchika KarenJBateson tartanblanketco","en",,,,,,,,,,,,,,,,"x1324783122106490880","@KarenJBateson @tartanblanketco Reason I love my work, working with/mentored by someone like that. Thought I’d share..’lead by admitting that you don’t know’ https://t.co/y0g8s2E1rl @ProfMinnis @TEDxGlasgow",2020-11-06 18:38:04,"Twitter for iPhone",3,0,"x1303326278414749697","GajwaniRuchika","Ruchika Gajwani",65,138,110,"Glasgow, Scotland","Indian by birth, Scottish by choice. Clinical psychologist, researcher at @ACE_Centre_UoG, CAT psychotherapy trainee",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ACE_Centre_UoG/status/1324851947153903617","ACE Centre","Glasgow, Scotland","Established Adverse Childhood Experience Centre 2016, researchers at University of Glasgow from multiple projects. All views are our own.","https://t.co/lbD8Sy54Ej",FALSE,335,127,2,152,144,2016-04-21 12:30:51,FALSE,"https://t.co/lbD8Sy54Ej","http://www.gla.ac.uk/acecentre",,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/849995006949675008/9PJJmxsj_normal.jpg"
"x1303326278414749697","x1324783122106490880",2020-11-06 18:38:04,"GajwaniRuchika","@KarenJBateson @tartanblanketco Reason I love my work, working with/mentored by someone like that. Thought I’d share..’lead by admitting that you don’t know’ https://t.co/y0g8s2E1rl @ProfMinnis @TEDxGlasgow","Twitter for iPhone",174,"x1324718698922430465","x633082895","KarenJBateson",FALSE,FALSE,3,0,,,,,"m.youtube.com/watch?v=78EiF0…","https://t.co/y0g8s2E1rl","https://m.youtube.com/watch?v=78EiF0Ng-Kg",,,,,,,,,"x633082895 x2966170144 x1297792980804304896 x444865228","KarenJBateson tartanblanketco ProfMinnis TEDxGlasgow","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GajwaniRuchika/status/1324783122106490880","Ruchika Gajwani","Glasgow, Scotland","Indian by birth, Scottish by choice. Clinical psychologist, researcher at @ACE_Centre_UoG, CAT psychotherapy trainee","https://t.co/XS7CkicCL5",FALSE,65,138,0,110,315,2020-09-08 13:36:31,FALSE,"https://t.co/XS7CkicCL5","https://www.gla.ac.uk/researchinstitutes/healthwellbeing/staff/ruchikagajwani/#",,"https://pbs.twimg.com/profile_banners/1303326278414749697/1601668443",,"http://pbs.twimg.com/profile_images/1312118660966895618/edphJJnD_normal.jpg"
"x292841295","x1324695730523578369",2020-11-06 12:50:48,"caliiswift","💚 It’s easy to feel overwhelmed. To not know where to begin to save our planet.

This is why we launched #countusin, 16 Steps that you can choose from, to have a direct impact on #ClimateAction. Start make a difference today: https://t.co/rtsk1QUjkc https://t.co/GgLPM4Ohnb","Twitter for Android",140,,,,FALSE,TRUE,0,11,,,"countusin",,,,,,,,,,,,,"x444865228","TEDxGlasgow","en",,,,,,,,,,,,,,,,"x1321026890761723909","💚 It’s easy to feel overwhelmed. To not know where to begin to save our planet.

This is why we launched #countusin, 16 Steps that you can choose from, to have a direct impact on #ClimateAction. Start make a difference today: https://t.co/rtsk1QUjkc https://t.co/GgLPM4Ohnb",2020-10-27 09:52:08,"Twitter Web App",23,11,"x444865228","TEDxGlasgow","TEDxGlasgow",9665,1231,8156,"Glasgow, Scotland","Join #TEDxGlasgow's mission to save the planet - Climate Watch Party 10.10.2020",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/caliiswift/status/1324695730523578369","𝑓𝑜𝑙𝑘clr","For Taypink content only","You are what you love. 🖤💗 #swiftieblink",,FALSE,981,1326,0,39918,55486,2011-05-04 09:53:24,FALSE,,,,"https://pbs.twimg.com/profile_banners/292841295/1595514644","http://abs.twimg.com/images/themes/theme10/bg.gif","http://pbs.twimg.com/profile_images/1316900518287953923/5xWosRSC_normal.jpg"
"x746595851863154688","x1323680353312268295",2020-11-03 17:36:03,"australianlead","""The mindset for a new #prosperity""

Worth watching!   #Australian #sustainability leader @TerryAHearn @ScottishEPA ""The mindset for a new #prosperity"" @TEDxGlasgow https://t.co/u5U3P3x28B","Commun.it Intelligence",188,,,,FALSE,FALSE,0,0,,,"prosperity Australian sustainability prosperity",,"australianleadership.blogspot.com.au/2017/06/the-mi…","https://t.co/u5U3P3x28B","http://australianleadership.blogspot.com.au/2017/06/the-mindset-for-new-prosperity.html",,,,,,,,,"x556870868 x117041424 x444865228","TerryAHearn ScottishEPA TEDxGlasgow","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/australianlead/status/1323680353312268295","AustralianLeadership","Australia","The Australian Leadership Project - https://t.co/vsIusgeGSM ""Celebrating, understanding and improving Australian Leadership""","https://t.co/vsIusgeGSM",FALSE,3059,2968,96,11858,12665,2016-06-25 06:48:17,FALSE,"https://t.co/vsIusgeGSM","http://www.australianleadership.com",,"https://pbs.twimg.com/profile_banners/746595851863154688/1505935474","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/910585370340769792/mIuLwb4O_normal.jpg"
"x746595851863154688","x1323622890202386432",2020-11-03 13:47:43,"australianlead","""The mindset for a new #prosperity""

Worth watching!   #Australian #sustainability leader @TerryAHearn @ScottishEPA ""The mindset for a new #prosperity"" @TEDxGlasgow https://t.co/u5U3P3x28B","Commun.it Intelligence",188,,,,FALSE,FALSE,0,0,,,"prosperity Australian sustainability prosperity",,"australianleadership.blogspot.com.au/2017/06/the-mi…","https://t.co/u5U3P3x28B","http://australianleadership.blogspot.com.au/2017/06/the-mindset-for-new-prosperity.html",,,,,,,,,"x556870868 x117041424 x444865228","TerryAHearn ScottishEPA TEDxGlasgow","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/australianlead/status/1323622890202386432","AustralianLeadership","Australia","The Australian Leadership Project - https://t.co/vsIusgeGSM ""Celebrating, understanding and improving Australian Leadership""","https://t.co/vsIusgeGSM",FALSE,3059,2968,96,11858,12665,2016-06-25 06:48:17,FALSE,"https://t.co/vsIusgeGSM","http://www.australianleadership.com",,"https://pbs.twimg.com/profile_banners/746595851863154688/1505935474","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/910585370340769792/mIuLwb4O_normal.jpg"
"x870050814429192192","x1323626730276401157",2020-11-03 14:02:58,"EleniSakkoula","@CountUsInSOCIAL Thank you @CountUsInSOCIAL 🙌 Excited about your partnership with @TEDxGlasgow and #COP26 in Glasgow 🌍","Twitter Web App",101,"x1321732045131960320","x1296834445777997824","CountUsInSOCIAL",FALSE,FALSE,1,0,,,"COP26",,,,,,,,,,,,,"x1296834445777997824 x1296834445777997824 x444865228","CountUsInSOCIAL CountUsInSOCIAL TEDxGlasgow","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/EleniSakkoula/status/1323626730276401157","Eleni Sakkoula","","eLearning and EdTech | Digital marketing | Business, media and localisation.",,FALSE,460,800,7,382,394,2017-05-31 22:54:13,FALSE,,,,"https://pbs.twimg.com/profile_banners/870050814429192192/1518611502",,"http://pbs.twimg.com/profile_images/989549344792678405/-zcTrLeV_normal.jpg"
"x4431558749","x1323315009984909314",2020-11-02 17:24:19,"ModhaNutan","The great porn experiment | Gary Wilson | TEDxGlasgow https://t.co/vd3l7jOuxl via @YouTube","Twitter Web App",90,,,,FALSE,FALSE,0,0,,,,,"youtu.be/wSF82AwSDiU","https://t.co/vd3l7jOuxl","https://youtu.be/wSF82AwSDiU",,,,,,,,,"x10228272","YouTube","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ModhaNutan/status/1323315009984909314","modhanutan","","Social Media Political Activist","https://t.co/nfMa5MArTm",FALSE,30,47,2,11405,1861,2015-12-09 23:30:33,FALSE,"https://t.co/nfMa5MArTm","http://anyolecrap.weebly.com/",,"https://pbs.twimg.com/profile_banners/4431558749/1604140104","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1317563266013532160/NjgaVYZg_normal.jpg"
"x726550880","x1323025895523786755",2020-11-01 22:15:28,"madblack65","My @TEDxGlasgow talk is now available.  Please watch and #RT  

Speaking out for all those who cant find their voice yet! @TEDTalks 

""Unbroken- Speaking the Unspeakable""

#TEDxGla2019  #TEDxtalks  #MadTalks #MeToo #FindYourVoice #endthesilence #Unbroken 
https://t.co/6EVDNz3iNY","Twitter for iPhone",140,,,,FALSE,TRUE,0,118,,,"RT",,,,,,,,,,,,,"x726550880 x444865228","madblack65 TEDxGlasgow","en",,,,,,,,,,,,,,,,"x1142451641075064834","My @TEDxGlasgow talk is now available.  Please watch and #RT  

Speaking out for all those who cant find their voice yet! @TEDTalks 

""Unbroken- Speaking the Unspeakable""

#TEDxGla2019  #TEDxtalks  #MadTalks #MeToo #FindYourVoice #endthesilence #Unbroken 
https://t.co/6EVDNz3iNY",2019-06-22 15:17:51,"Twitter Web Client",189,118,"x726550880","madblack65","Madeleine Black",7588,444,54066,"Glasgow, Scotland","Speaker, Activist & Author of #Unbroken|Patron @SAYWomen @justiceisnowuk storyteller @ForgivenessProj|participant @choosethriving|@TEDxGlasgow speaker|#metoo",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/madblack65/status/1323025895523786755","Madeleine Black","Glasgow, Scotland","Speaker, Activist & Author of #Unbroken|Patron @SAYWomen @justiceisnowuk storyteller @ForgivenessProj|participant @choosethriving|@TEDxGlasgow speaker|#metoo","https://t.co/8Ig0p3XS0E",FALSE,7588,444,239,54066,83981,2012-07-30 18:04:31,FALSE,"https://t.co/8Ig0p3XS0E","https://youtu.be/_ouhY155398",,"https://pbs.twimg.com/profile_banners/726550880/1593778746","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1279027336806096902/Yy_Q5rbG_normal.jpg"
"x726550880","x1323025850346971136",2020-11-01 22:15:18,"madblack65","My @TEDxGlasgow  is called “Unbroken - Speaking The Unspeakable” 

@BreneBrown says that shame derives it’s power from being unspeakable 

I stood in my power when I shared my story! 

#findyourvoice #silencehurts #nevertoolate #Unbroken #metoo https://t.co/c17iLm1CTo","Twitter for iPhone",140,,,,FALSE,TRUE,0,13,,,,,,,,,,,,,,,,"x726550880 x444865228 x14717311","madblack65 TEDxGlasgow BreneBrown","en",,,,,,,,,,,,,,,,"x1144740247168782336","My @TEDxGlasgow  is called “Unbroken - Speaking The Unspeakable” 

@BreneBrown says that shame derives it’s power from being unspeakable 

I stood in my power when I shared my story! 

#findyourvoice #silencehurts #nevertoolate #Unbroken #metoo https://t.co/c17iLm1CTo",2019-06-28 22:51:57,"Twitter for iPhone",31,13,"x726550880","madblack65","Madeleine Black",7588,444,54066,"Glasgow, Scotland","Speaker, Activist & Author of #Unbroken|Patron @SAYWomen @justiceisnowuk storyteller @ForgivenessProj|participant @choosethriving|@TEDxGlasgow speaker|#metoo",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/madblack65/status/1323025850346971136","Madeleine Black","Glasgow, Scotland","Speaker, Activist & Author of #Unbroken|Patron @SAYWomen @justiceisnowuk storyteller @ForgivenessProj|participant @choosethriving|@TEDxGlasgow speaker|#metoo","https://t.co/8Ig0p3XS0E",FALSE,7588,444,239,54066,83981,2012-07-30 18:04:31,FALSE,"https://t.co/8Ig0p3XS0E","https://youtu.be/_ouhY155398",,"https://pbs.twimg.com/profile_banners/726550880/1593778746","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1279027336806096902/Yy_Q5rbG_normal.jpg"
"x444865228","x1321747168647172098",2020-10-29 09:34:16,"TEDxGlasgow",".@DarinOlien, expert contributor at this month's #Climate Watch Party, is offering a free trial of his app:121 Tribe 🍃 Darin will guide you 24/7 in order to reach a stage where you can actually thrive and have the energy to live the dream life you deserve https://t.co/WtBkXB5Tii https://t.co/TxkvxjmfI4","Twitter Web App",279,,,,FALSE,FALSE,1,0,,,"Climate",,"121tribe.com","https://t.co/WtBkXB5Tii","https://121tribe.com","http://pbs.twimg.com/media/ElfJ4WPXYAEoUp3.jpg","https://t.co/TxkvxjmfI4","https://twitter.com/TEDxGlasgow/status/1321747168647172098/photo/1","photo","http://pbs.twimg.com/media/ElfJ4WPXYAEoUp3.jpg","https://t.co/TxkvxjmfI4","https://twitter.com/TEDxGlasgow/status/1321747168647172098/photo/1",,"x235583902","DarinOlien","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/TEDxGlasgow/status/1321747168647172098","TEDxGlasgow","Glasgow, Scotland","Join #TEDxGlasgow's mission to save the planet - Climate Watch Party 10.10.2020","https://t.co/oAM9eL9RWW",FALSE,9665,1231,116,8156,11923,2011-12-23 18:44:37,TRUE,"https://t.co/oAM9eL9RWW","https://tedxglasgow.com/climate",,"https://pbs.twimg.com/profile_banners/444865228/1592248657","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/963924040057524231/EbQDLS4t_normal.jpg"
