"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x746595851863154688","x1328762106032885761",2020-11-17 18:09:07,"australianlead","""The mindset for a new #prosperity""

Worth watching!   #Australian #sustainability leader @TerryAHearn @ScottishEPA ""The mindset for a new #prosperity"" @TEDxGlasgow https://t.co/u5U3P3x28B","Commun.it Intelligence",188,,,,FALSE,FALSE,0,0,,,"prosperity Australian sustainability prosperity",,"australianleadership.blogspot.com.au/2017/06/the-mi…","https://t.co/u5U3P3x28B","http://australianleadership.blogspot.com.au/2017/06/the-mindset-for-new-prosperity.html",,,,,,,,,"x556870868 x117041424 x444865228","TerryAHearn ScottishEPA TEDxGlasgow","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/australianlead/status/1328762106032885761","AustralianLeadership","Australia","The Australian Leadership Project - https://t.co/vsIusgeGSM ""Celebrating, understanding and improving Australian Leadership""","https://t.co/vsIusgeGSM",FALSE,3062,2970,96,12029,12710,2016-06-25 06:48:17,FALSE,"https://t.co/vsIusgeGSM","http://www.australianleadership.com",,"https://pbs.twimg.com/profile_banners/746595851863154688/1505935474","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/910585370340769792/mIuLwb4O_normal.jpg"
"x746595851863154688","x1326222320038514688",2020-11-10 17:56:55,"australianlead","""The mindset for a new #prosperity""

Worth watching!   #Australian #sustainability leader @TerryAHearn @ScottishEPA ""The mindset for a new #prosperity"" @TEDxGlasgow https://t.co/u5U3P3x28B","Commun.it Intelligence",188,,,,FALSE,FALSE,0,0,,,"prosperity Australian sustainability prosperity",,"australianleadership.blogspot.com.au/2017/06/the-mi…","https://t.co/u5U3P3x28B","http://australianleadership.blogspot.com.au/2017/06/the-mindset-for-new-prosperity.html",,,,,,,,,"x556870868 x117041424 x444865228","TerryAHearn ScottishEPA TEDxGlasgow","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/australianlead/status/1326222320038514688","AustralianLeadership","Australia","The Australian Leadership Project - https://t.co/vsIusgeGSM ""Celebrating, understanding and improving Australian Leadership""","https://t.co/vsIusgeGSM",FALSE,3062,2970,96,12029,12710,2016-06-25 06:48:17,FALSE,"https://t.co/vsIusgeGSM","http://www.australianleadership.com",,"https://pbs.twimg.com/profile_banners/746595851863154688/1505935474","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/910585370340769792/mIuLwb4O_normal.jpg"
"x4099950197","x1328718853543702529",2020-11-17 15:17:15,"StMoBusEd","We're back, a few tweaks made to our business plan and some great masterclasses today we can't wait to present in December!! @TEDxGlasgow @DigiInventors @StMoBusEd #climatechange #oceanrevolution https://t.co/2YnouqyAPZ","Twitter for iPhone",140,,,,FALSE,TRUE,0,1,,,,,,,,,,,,,,,,"x1192047420928090114","OceanRev2","en",,,,,,,,,,,,,,,,"x1328718221797711876","We're back, a few tweaks made to our business plan and some great masterclasses today we can't wait to present in December!! @TEDxGlasgow @DigiInventors @StMoBusEd #climatechange #oceanrevolution https://t.co/2YnouqyAPZ",2020-11-17 15:14:45,"Twitter for Android",4,1,"x1192047420928090114","OceanRev2","Ocean Revolution",15,18,5,"","A mobile eco-friendly food and drink truck",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/StMoBusEd/status/1328718853543702529","Mr McAloon","Cumbernauld, Scotland","Keeping you up to date with the latest news from our Business Education Department @St_Maurice_High.","https://t.co/BExshlseGr",FALSE,825,372,8,1275,2655,2015-11-02 21:19:01,FALSE,"https://t.co/BExshlseGr","http://www.st-maurices.n-lanark.sch.uk/",,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1240776491962707969/0Voh0aFL_normal.jpg"
"x1192047420928090114","x1328718221797711876",2020-11-17 15:14:45,"OceanRev2","We're back, a few tweaks made to our business plan and some great masterclasses today we can't wait to present in December!! @TEDxGlasgow @DigiInventors @StMoBusEd #climatechange #oceanrevolution https://t.co/2YnouqyAPZ","Twitter for Android",195,,,,TRUE,FALSE,4,1,,,"climatechange oceanrevolution",,"twitter.com/StMoBusEd/stat…","https://t.co/2YnouqyAPZ","https://twitter.com/StMoBusEd/status/1328716229587185666",,,,,,,,,"x444865228 x802200298861301761 x4099950197","TEDxGlasgow DigiInventors StMoBusEd","en","x1328716229587185666","🌏 Delighted to participate in the Digi Inventors Bootcamp today. Our S4 pupils developed their business plan, using interactive technology to share and collaborate with industry experts. We are excited to return for the final in December! @St_Maurice_High @DigiInventors https://t.co/sx3RvH21cN",2020-11-17 15:06:50,"Twitter for iPhone",23,1,"x4099950197","StMoBusEd","Mr McAloon",825,372,1275,"Cumbernauld, Scotland","Keeping you up to date with the latest news from our Business Education Department @St_Maurice_High.",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/OceanRev2/status/1328718221797711876","Ocean Revolution","","A mobile eco-friendly food and drink truck",,FALSE,15,18,0,5,15,2019-11-06 11:54:02,FALSE,,,,"https://pbs.twimg.com/profile_banners/1192047420928090114/1573041418",,"http://pbs.twimg.com/profile_images/1192077050217189376/5QytvQnU_normal.jpg"
"x871862459421925376","x1328304756222283776",2020-11-16 11:51:47,"Triciagreig2","@anandMenon1 @TEDxGlasgow At least it wasn’t Glasgow ‘Empire’ That stage been the death of many. Des O’Connor feigned a faint to get off.","Twitter for iPhone",111,"x1143052415782010882","x107398834","anandMenon1",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x107398834 x444865228","anandMenon1 TEDxGlasgow","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Triciagreig2/status/1328304756222283776","Tricia greig","United Kingdom","The Natural World in all its myriad forms. EU/Scot. Was British ‘til Brexit & Tory rule Scotland 62% remain Curious about all sorts. Lighthearted.",,FALSE,1595,5001,0,12746,56617,2017-06-05 22:53:03,FALSE,,,,"https://pbs.twimg.com/profile_banners/871862459421925376/1592304136",,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"x107398834","x1328299040036040704",2020-11-16 11:29:04,"anandMenon1","@zcobb @TEDxGlasgow Thanks so much!","Twitter for iPhone",15,"x1328298843847467011","x15508710","zcobb",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x15508710 x444865228","zcobb TEDxGlasgow","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/anandMenon1/status/1328299040036040704","Anand Menon","","Director @ukandeu Bitter and twisted observer of politics. ‘Expert’. 'Slightly matey politics don' (Q. Letts) Malbec please; #lufc anand.menon@kcl.ac.uk","https://t.co/NtwHMGvCnH",FALSE,49579,3878,707,70885,71559,2010-01-22 12:37:12,TRUE,"https://t.co/NtwHMGvCnH","http://www.ukandeu.ac.uk",,"https://pbs.twimg.com/profile_banners/107398834/1559838699","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1155744891135299584/TpVDsHZj_normal.jpg"
"x107398834","x1328298290547470336",2020-11-16 11:26:05,"anandMenon1","@JoRichardsKent @TEDxGlasgow @ukesif @TomTugendhat Don’t be polite. This is Twitter 😉","Twitter for iPhone",34,"x1328297326390235144","x419927046","JoRichardsKent",FALSE,FALSE,3,0,,,,,,,,,,,,,,,,"x419927046 x444865228 x1137746945382998021 x2173779986","JoRichardsKent TEDxGlasgow ukesif TomTugendhat","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/anandMenon1/status/1328298290547470336","Anand Menon","","Director @ukandeu Bitter and twisted observer of politics. ‘Expert’. 'Slightly matey politics don' (Q. Letts) Malbec please; #lufc anand.menon@kcl.ac.uk","https://t.co/NtwHMGvCnH",FALSE,49579,3878,707,70885,71559,2010-01-22 12:37:12,TRUE,"https://t.co/NtwHMGvCnH","http://www.ukandeu.ac.uk",,"https://pbs.twimg.com/profile_banners/107398834/1559838699","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1155744891135299584/TpVDsHZj_normal.jpg"
"x107398834","x1328294509193596929",2020-11-16 11:11:04,"anandMenon1","@zcobb @HPIAndyCowper @TEDxGlasgow Terrifying","Twitter Web App",10,"x1328294337520807938","x15508710","zcobb",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x15508710 x171435540 x444865228","zcobb HPIAndyCowper TEDxGlasgow","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/anandMenon1/status/1328294509193596929","Anand Menon","","Director @ukandeu Bitter and twisted observer of politics. ‘Expert’. 'Slightly matey politics don' (Q. Letts) Malbec please; #lufc anand.menon@kcl.ac.uk","https://t.co/NtwHMGvCnH",FALSE,49579,3878,707,70885,71559,2010-01-22 12:37:12,TRUE,"https://t.co/NtwHMGvCnH","http://www.ukandeu.ac.uk",,"https://pbs.twimg.com/profile_banners/107398834/1559838699","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1155744891135299584/TpVDsHZj_normal.jpg"
"x15508710","x1328298843847467011",2020-11-16 11:28:17,"zcobb","@anandMenon1 @TEDxGlasgow 12 minutes of much-needed common sense, keen observation, and clarity. With an excellent call to action. Respect!","Twitter for iPhone",113,"x1143052415782010882","x107398834","anandMenon1",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x107398834 x444865228","anandMenon1 TEDxGlasgow","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/zcobb/status/1328298843847467011","Stephen Cobb","Coventry, UK","Award-winning technologist, bestselling author. CISSP. MSc. Partner of @Chey_Cobb. Research life/tech for public good. WM seeks demise of Patriarchy. #Hemopause","https://t.co/OvHkEdsvJv",FALSE,4575,4448,255,29733,8982,2008-07-21 01:55:01,TRUE,"https://t.co/OvHkEdsvJv","http://scobb.net",,"https://pbs.twimg.com/profile_banners/15508710/1600251296","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1311762383069679617/_6qTwKmg_normal.jpg"
"x15508710","x1328294337520807938",2020-11-16 11:10:23,"zcobb","@anandMenon1 @HPIAndyCowper @TEDxGlasgow Will listen because yes, my TEDx talk in 2015 was the scariest 13 minutes of my life (and I’d spent decades as a public speaker before then). 😃","Twitter for iPhone",143,"x1143052415782010882","x107398834","anandMenon1",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x107398834 x171435540 x444865228","anandMenon1 HPIAndyCowper TEDxGlasgow","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/zcobb/status/1328294337520807938","Stephen Cobb","Coventry, UK","Award-winning technologist, bestselling author. CISSP. MSc. Partner of @Chey_Cobb. Research life/tech for public good. WM seeks demise of Patriarchy. #Hemopause","https://t.co/OvHkEdsvJv",FALSE,4575,4448,255,29733,8982,2008-07-21 01:55:01,TRUE,"https://t.co/OvHkEdsvJv","http://scobb.net",,"https://pbs.twimg.com/profile_banners/15508710/1600251296","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1311762383069679617/_6qTwKmg_normal.jpg"
